NOMBRE_BARRIO,CANTIDAD
GRANJAS SAN PABLO,2623
GUADALUPE,163
GUADUAL FONTIBON,2566
GUALOCHE,2006
GUIPARMA,2976
GUSTAVO RESTREPO,2991
HIPOTECHO,2936
HIPOTECHO OCCIDENTAL,11119
HIPOTECHO SUR,4671
HORIZONTES NORTE,4767
HOSPITAL SAN CARLOS,3725
HOYA SAN CRISTOBAL,9
HOYA TEUSACA,779
IBERIA,10267
INDUSTRIAL CENTENARIO,193
INGEMAR,1721
INGEMAR I,53
INGEMAR ORIENTAL,171
INGEMAR ORIENTAL I,175
INGEMAR ORIENTAL RURAL,9
INGLES,2578
INTERINDUSTRIAL,174
IRAGUA,4
ISLA DEL SOL,1981
ISLANDIA,1090
ISMAEL PERDOMO,638
JACQUELINE,1629
JARDIN BOTANICO,2864
JAZMIN,1
JERUSALEN,1292
JIMENEZ DE QUESADA,890
JIMENEZ DE QUESADA II SECTOR,1274
JORGE ELIECER GAITAN,1783
JORGE GAITAN CORTES,2146
JORGE URIBE BOTERO,1910
JOSE ANTONIO GALAN,1402
JOSE JOAQUIN VARGAS,2757
JOSE MARIA CARBONEL,2648
JUAN JOSE RONDON,1350
JUAN JOSE RONDON I,585
JUAN PABLO II,2117
JUAN REY (LA PAZ),1979
JUAN REY SUR,1428
JUAN XXIII,992
JULIO FLOREZ,5153
KASANDRA,500
LA ALAMEDA,3631
LA ANDREA,2780
LA ARBOLEDA RURAL,2
LA ASUNCION,2265
LA AURORA,4250
LA BELLEZA,982
LA CABANA,5976
LA CABANA FONTIBON,2030
"LA CABANA, EL REGALO",1
LA CABRERA,5410
LA CALLEJA,14180
LA CAMELIA,1318
LA CAMPINA,2487
LA CANDELARIA,1
LA CAPUCHINA,5331
LA CAROLINA,7746
LA CAROLINA DE SUBA,687
LA CASTELLANA,4608
LA CATEDRAL,6891
LA CECILIA,1950
LA CHUCUA,1918
LA CITA,1018
LA COMUNA,1662
LA CONCORDIA,363
LA CORUNA,3057
LA ESMERALDA,1605
LA ESPERANZA,1544
LA ESPERANZA DE USME,1571
LA ESPERANZA NORTE,12070
LA ESPERANZA SUR,4198
LA ESPERANZA SUR I,125
